# inputconv.txt
# used to generate xletters's input conversion tables. Must be saved
# in UTF-8 encoding.
# parts taken from a file by Jim Breen
##################################################################
#   Any line beginning with a # is a comment.
# Each data line must contain a pair matching an arbitrary Unicode
# string (1st column) with an ASCII string (second column), separated
# by one or more spaces. The rest of the line is a comment. The ASCII
# part indicates what has to be typed to represent the Unicode string. 
# Order doesn't matter, empty lines are allowed.
##################################################################

# ----------------- Western European ------------------
#compositing table for western european letters (incomplete)

# 0x00c0 to 0x00fc
À `A
Á ´A
Â ^A
Ã ~A
Ä "A
Å °A
Æ AE
Ç ,C
È `E
É ´E
Ê ^E
Ë "E
Ì `I
Í Í
Î ^I
Ï "I
Ð -D is this the usual way ?
Ñ ~N
Ò `O
Ó ´O
Ô ^O
Õ ~O
Ö "O
× * check this
Ø /O check this
Ù `U
Ú ´U
Û ^U
Ü "U
Ý ´Y
Þ Thorn  any clue how this is usually entered ?
ß ss
à `a
á 'a
â ^a
ã ~a
ä "a
å °a
æ ae
ç ,c
è `e
é 'e
ê ^e
ë "e
ì `i
í ´i
î ^i
ï "i
ð -d check this
ñ ~n
ò `o
ó ´o
ô ^o
õ ~o
ö "o
÷ / check this
ø /o check this
ù `u
ú ´u
û ^u
ü "u

# 0x0152 and 0x0153
Œ OE
œ oe

# ----------------- Japanese --------------------

$hiragana table
ぁ xa
あ a
ぃ xi
い i
ぅ xu
う u
ぇ xe
え e
え ye
ぉ xo
お o
か ka
が ga
き ki
きゃ kya
きゅ kyu
きぇ kye
きょ kyo
ぎ gi
ぎゃ gya
ぎゅ gyu
ぎぇ gye
ぎょ gyo
く ku
ぐ gu
け ke
げ ge
こ ko
ご go
さ sa
ざ za
し shi
し si
し syi
しゃ sha
しゃ sya
しゅ shu
しゅ syu
しぇ she
しぇ sye
しょ sho
しょ syo
じ ji
じ jyi
じゃ ja
じゃ jya
じゅ ju
じゅ jyu
じぇ je
じぇ jye
じょ jo
じょ jyo
す su
ず zu
ずぃ zi
せ se
ぜ ze
そ so
ぞ zo
た ta
だ da
ち chi
ち cyi
ち ti
ち tyi
ちゃ cha
ちゃ cya
ちゃ tya
ちゅ chu
ちゅ cyu
ちゅ tyu
ちぇ che
ちぇ cye
ちぇ tye
ちょ cho
ちょ cyo
ちょ tyo
ぢ dzi
ぢ dji
ぢゃ dza
ぢゃ dja
ぢゅ dzu
ぢゅ dju
ぢぇ dze
ぢぇ dje
ぢょ dzo
ぢょ djo
っ *
っ t-
っち tchi
っちゃ tcha
っちゅ tchu
っちぇ tche
っちょ tcho
つ tsu
つ tu
つぁ tsa
つぇ tse
つぉ tso
づ dzu
づ du
て te
てぃ ti (note that ti is also used by kunrei ti=chi above)
てゃ tya
てゅ tyu
てょ tyo
で de
でぃ di
でゃ dya
でゅ dyu
でぇ dye
でょ dyo
と to
ど do
どぅ du
な na
に ni
にゃ nya
にゅ nyu
にぇ nye
にょ nyo
ぬ nu
ね ne
の no
は ha
ば ba
ぱ pa
ひ hi
ひゃ hya
ひゅ hyu
ひぇ hye
ひょ hyo
び bi
びゃ bya
びゅ byu
びぇ bye
びょ byo
ぴ pi
ぴゃ pya
ぴゅ pyu
ぴぇ pye
ぴょ pyo
ふ fu
ふ hu
ふぁ fa
ふぃ fi
ふぇ fe
ふぉ fo
ふゃ fya
ふゅ fyu
ふぇ fye
ふょ fyo
ぶ bu
ぷ pu
へ he
べ be
ぺ pe
ほ ho
ぼ bo
ぽ po
ま ma
み mi
みゃ mya
みゅ myu
みぇ mye
みょ myo
む mu
め me
も mo
ゃ xya
や ya
ゅ xyu
ゆ yu
ょ xyo
よ yo
ら ra
ら la
り ri
り li
りゃ rya
りゃ lya
りゅ ryu
りゅ lyu
りぇ rye
りぇ lye
りょ ryo
りょ lyo
る ru
る lu
れ re
れ le
ろ ro
ろ lo
ゎ xwa
わ wa
ゐ wi
ゑ we
を wo
ん n'
ん q
ん nn
# double consonnant for preceding small tsu
っか kka
っき kki
っきゃ kkya
っきゅ kkyu
っきぇ kkye
っきょ kkyo
っく kku
っけ kke
っこ kko
っさ ssa
っし sshi
っし ssi
っし ssyi
っしゃ ssha
っしゃ ssya
っしゅ sshu
っしゅ ssyu
っしぇ sshe
っしぇ ssye
っしょ ssho
っしょ ssyo
っす ssu
っせ sse
っそ sso
った tta
っち cchi
っち ccyi
っち tti
っち ttyi
っちゃ ccha
っちゃ ccya
っちゃ ttya
っちゅ cchu
っちゅ ccyu
っちゅ ttyu
っちぇ cche
っちぇ ccye
っちぇ ttye
っちょ ccho
っちょ ccyo
っちょ ttyo
っっち ttchi
っっちゃ ttcha
っっちゅ ttchu
っっちぇ ttche
っっちょ ttcho
っつ ttsu
っつ ttu
っつぁ ttsa
っつぇ ttse
っつぉ ttso
って tte
ってぃ tti (note that ti is also used by kunrei ti=chi above)
ってゃ ttya
ってゅ ttyu
ってょ ttyo
っと tto
っば bba
っぱ ppa
っび bbi
っびゃ bbya
っびゅ bbyu
っびぇ bbye
っびょ bbyo
っぴ ppi
っぴゃ ppya
っぴゅ ppyu
っぴぇ ppye
っぴょ ppyo
っぶ bbu
っぷ ppu
っべ bbe
っぺ ppe
っぼ bbo
っぽ ppo
# preceding n amounts to doubled consonant for m-series
んま mma
んみ mmi
んみゃ mmya
んみゅ mmyu
